AccumulatedPower,Cadence,Distance,FractionalCadence,HeartRate,LeftRightBalance,Power,Temperature,Timestamp
156954,90,0,0,188,173,303,17,1013616573
157145,88,0,0,189,183,191,17,1013616574
157343,86,0,0,191,171,198,17,1013616575
157547,88,0,0,190,179,204,17,1013616576
157806,89,0,0,188,178,259,17,1013616577
158071,90,0,0,189,175,265,17,1013616578
158285,91,0,0,189,175,214,17,1013616579
158533,91,0,0,189,179,248,17,1013616580
158781,91,0,0,189,179,248,17,1013616581
159001,91,0,0,188,176,220,17,1013616582
159300,91,0,0,188,176,299,17,1013616583
159622,94,0,0,188,180,322,17,1013616584
159956,95,0,0,188,175,334,17,1013616585
160238,91,0,0,188,173,282,17,1013616586
160508,91,0,0,188,177,270,17,1013616587
160780,90,0,0,188,179,272,17,1013616588
161060,90,0,0,188,181,280,17,1013616589
161352,90,0,0,189,179,292,17,1013616590
161618,90,0,0,189,176,266,17,1013616591
161926,90,0,0,189,178,308,17,1013616592
162142,91,0,0,189,180,216,17,1013616593
162338,88,0,0,189,175,196,17,1013616594
162519,87,0,0,188,169,181,17,1013616595
162781,90,0,0,188,181,262,17,1013616596
163048,90,0,0,187,181,267,17,1013616597
163341,92,0,0,186,179,293,17,1013616598
163645,93,0,0,186,176,304,17,1013616599
163939,95,0,0,185,177,294,17,1013616600
164228,94,0,0,185,181,289,17,1013616601
164502,89,0,0,186,180,274,17,1013616602
164775,89,0,0,185,178,273,17,1013616603
165046,89,0,0,185,176,271,17,1013616604
165304,89,0,0,184,180,258,17,1013616605
165572,89,0,0,186,177,268,17,1013616606
165844,89,0,0,185,177,272,17,1013616607
166176,89,0,0,184,178,332,17,1013616608
166499,90,0,0,184,179,323,17,1013616609
166834,91,0,0,184,177,335,17,1013616610
167172,93,0,0,184,177,338,17,1013616611
167489,95,0,0,184,179,317,17,1013616612
167778,92,0,0,184,187,289,17,1013616613
168144,88,0,0,185,177,366,17,1013616614
168426,88,0,0,185,177,282,17,1013616615
168665,89,0,0,186,185,239,17,1013616616
168929,90,0,0,186,176,264,17,1013616617
169148,91,0,0,185,171,219,17,1013616618
169368,90,0,0,186,179,220,17,1013616619
169573,90,0,0,185,170,205,17,1013616620
169730,88,0,0,185,179,157,17,1013616621
169933,86,0,0,186,178,203,17,1013616622
170157,85,0,0,185,184,224,17,1013616623
170434,86,0,0,184,178,277,17,1013616624
170715,89,0,0,184,178,281,17,1013616625
171007,92,0,0,184,175,292,17,1013616626
171288,93,0,0,184,178,281,17,1013616627
171568,95,0,0,184,176,280,17,1013616628
171869,94,0,0,182,182,301,17,1013616629
172164,90,0,0,183,177,295,17,1013616630
172482,90,0,0,183,179,318,17,1013616631
172763,92,0,0,182,178,281,17,1013616632
173036,91,0,0,183,178,273,17,1013616633
173312,90,0,0,183,175,276,17,1013616634
173534,90,0,0,181,178,222,17,1013616635
173774,88,0,0,182,177,240,17,1013616636
173969,87,0,0,182,174,195,17,1013616637
174250,90,0,0,182,180,281,17,1013616638
174497,91,0,0,181,183,247,17,1013616639
174725,90,0,0,181,184,228,17,1013616640
174973,90,0,0,182,178,248,17,1013616641
175266,91,0,0,181,179,293,17,1013616642
175545,93,0,0,181,180,279,17,1013616643
175792,94,0,0,181,175,247,17,1013616644
176046,92,0,0,181,178,254,17,1013616645
176341,92,0,0,181,180,295,17,1013616646
176620,94,0,0,179,172,279,17,1013616647
176914,94,0,0,180,178,294,17,1013616648
177201,94,0,0,179,174,287,17,1013616649
177481,95,0,0,180,178,280,17,1013616650
177746,95,0,0,180,178,265,17,1013616651
178003,94,0,0,180,179,257,17,1013616652
178290,94,0,0,179,178,287,17,1013616653
178606,95,0,0,179,178,316,17,1013616654
178932,96,0,0,179,177,326,17,1013616655
179213,91,0,0,179,175,281,17,1013616656
179458,91,0,0,179,178,245,17,1013616657
179726,89,0,0,179,176,268,17,1013616658
180014,89,0,0,178,180,288,17,1013616659
180249,88,0,0,179,178,235,17,1013616660
180468,87,0,0,178,177,219,17,1013616661
180681,86,0,0,178,173,213,17,1013616662
180941,89,0,0,177,179,260,17,1013616663
181135,90,0,0,178,171,194,17,1013616664
181325,87,0,0,179,178,190,17,1013616665
181528,86,0,0,178,173,203,17,1013616666
181779,86,0,0,177,178,251,17,1013616667
181989,86,0,0,178,185,210,17,1013616668
182236,86,0,0,177,178,247,17,1013616669
182457,88,0,0,177,175,221,17,1013616670
182735,89,0,0,178,177,278,17,1013616671
183016,90,0,0,177,175,281,17,1013616672
183355,94,0,0,177,177,339,17,1013616673
183634,91,0,0,177,176,279,17,1013616674
183907,91,0,0,177,176,273,17,1013616675
184165,91,0,0,176,179,258,17,1013616676
184458,90,0,0,176,178,293,17,1013616677
184728,90,0,0,176,180,270,17,1013616678
